depth 2 :,,depth 4 :,,depth 6 :,,depth 8 :,,depth 10 :,
Time,Node,Time,Node,Time,Node,Time,Node,Time,Node
0,78,0,1014,0,9770,0.063,109187,0.737,1471938
0,119,0,1576,0.016,17849,0.094,186081,1.095,2390032
0,197,0,2221,0.016,20805,0.124,246074,1.435,3156238
0,163,0,2014,0.016,24756,0.125,281992,1.562,3594740
0,241,0,2107,0.016,15044,0.089,172231,1.028,2264539
0,244,0,3453,0.015,47464,0.172,401480,1.809,4610400
0,264,0,3197,0.015,35475,0.205,417756,2.819,6546682
0,268,0,3185,0.031,38518,0.188,422720,2.598,5873746
0,380,0,4756,0.031,51892,0.312,694425,3.589,8341641
0,91,0,1201,0,10017,0.063,119878,0.751,1675431
0,378,0.015,4338,0.016,47266,0.266,589315,3.166,7217530
0,297,0,4795,0.031,61671,0.281,672760,3.19,8017060
0,416,0,5445,0.032,69527,0.387,867363,4.584,11113001
0,570,0.016,10113,0.047,126356,0.609,1505365,7.364,18935578
0,326,0.015,3922,0.016,42784,0.312,668218,4.755,10805661
