depth 10 :,,,
board,Time,Node,
1,0.08,174610,
2,0.17,347837,
3,0.17,361182,
4,0.06,152586,
5,0.11,278915,
6,0.05,115786,
7,0.03,61690,
8,0.01,47553,
9,0.06,127945,
10,0.17,421680,
11,0.14,311244,
12,0.11,252442,
13,0.17,455176,
14,0.36,928317,
15,0.39,1091591,
16,0.75,2073312,
17,0.28,811070,
18,0.11,283018,
19,0.09,224956,
20,0.06,139048,
21,0.14,386038,
22,0.11,291066,
23,0.16,384965,
24,0.19,439038,
25,0.08,189186,
26,0.08,230367,
27,0.13,287976,
28,0.06,137338,
29,0.16,407494,
30,0.12,303263,
31,0.19,480906,
32,0.16,423429,
33,0.06,148279,
34,0.14,364997,
35,0.17,395889,
36,0.09,224947,
37,0.19,488451,
38,0.31,778422,
39,0.33,853211,
40,0.11,269010,
41,0.36,938227,
42,0.28,720841,
43,0.19,466937,
44,0.31,828533,
45,0.28,752706,
46,0.34,854480,
47,0.33,860953,
48,0.36,973195,
49,0.22,570111,
50,0.26,705686,
,0.19,476318,2566368
