depth 10 :
board,Time,Node
1,0.08,182292
2,0.14,338677
3,0.20,480641
4,0.06,161554
5,0.11,280031
6,0.06,125453
7,0.03,67863
8,0.02,53830
9,0.06,137523
10,0.19,435629
11,0.14,323647
12,0.12,298726
13,0.20,506549
14,0.45,1137727
15,0.41,1122845
16,0.79,2247081
17,0.30,842003
18,0.11,279796
19,0.14,346749
20,0.06,151936
21,0.19,483445
22,0.12,296675
23,0.16,406961
24,0.23,568487
25,0.08,195706
26,0.08,238633
27,0.16,371347
28,0.06,136631
29,0.16,423258
30,0.12,310796
31,0.20,539082
32,0.17,440589
33,0.06,149337
34,0.27,592916
35,0.20,400491
36,0.11,262349
37,0.20,536378
38,0.36,823946
39,0.47,1046166
40,0.12,298963
41,0.44,1102843
42,0.36,945191
43,0.19,490536
44,0.38,971456
45,0.40,1021108
46,0.39,1007551
47,0.38,1007377
48,0.68,1879308
49,0.44,1174951
50,0.34,957617
