depth 10 :,,,,
Time,Node,Time(¬í),Node(­Ó),Frequency(­Ó/¬í)
0.39,689441,1.30,2853827.58,2190198
0.41,868765,,,
0.54,1128115,,,
0.49,1059462,,,
0.7,1519853,,,
1.04,2267044,,,
1.03,2191463,,,
0.3,642024,,,
0.84,1744714,,,
0.75,1647238,,,
1.17,2545676,,,
1.04,2298034,,,
0.92,2055240,,,
1.17,2648347,,,
1.81,4191445,,,
1.97,4594667,,,
1.77,4179266,,,
1.12,2433541,,,
1.15,2478683,,,
0.12,261616,,,
1.99,4355290,,,
0.36,798980,,,
1.26,2737832,,,
1.27,2813504,,,
1.08,2403152,,,
1.1,2400750,,,
1.09,2372164,,,
0.12,269676,,,
2.1,4551870,,,
0.31,700665,,,
0.74,1588914,,,
1.36,2981010,,,
1.39,3071562,,,
3.11,6647150,,,
0.28,604873,,,
0.3,644383,,,
1.15,2418162,,,
0.79,1689424,,,
1.75,3827858,,,
1.87,4000915,,,
1.51,3307281,,,
0.95,2065222,,,
1.55,3351955,,,
3.18,6965843,,,
3.96,8685970,,,
1.62,3534984,,,
3.64,7896960,,,
2.47,5471346,,,
1.11,2479080,,,
3.01,6609970,,,
