depth 10 :,,,
Time,Node,,
0.37,663731,0.8136,1802648.84
0.36,775138,,
0.34,749534,,
0.28,614088,,
0.66,1423284,,
0.71,1520250,,
0.67,1433556,,
0.31,642024,,
0.55,1144226,,
0.73,1597076,,
0.89,1927984,,
0.92,1985944,,
0.67,1485912,,
1.18,2648347,,
1.29,3093027,,
1.76,4086494,,
1.22,2887077,,
0.6,1294466,,
0.45,1048609,,
0.1,261616,,
1.18,2634418,,
0.3,671103,,
1.03,2244659,,
0.84,1921169,,
0.72,1637248,,
0.45,987023,,
0.38,828633,,
0.12,269676,,
0.97,2129298,,
0.26,575713,,
0.5,1128776,,
0.81,1787917,,
0.89,1988290,,
1.17,2521570,,
0.22,433876,,
0.2,456943,,
0.66,1438792,,
0.49,1085726,,
0.83,1851982,,
1.39,2981302,,
0.9,2039529,,
0.96,2065222,,
0.9,2026305,,
1.98,4354095,,
1.6,3573897,,
0.97,2121635,,
1.85,4092516,,
1.85,4085060,,
0.76,1726187,,
1.44,3191499,,
