depth 10 :,,,,
Time,Node,Time(¬í),Node(­Ó),Frequency(­Ó/¬í)
0.28,502868,1.38,2882800.86,2095973
0.63,1234651,,,
0.73,1499652,,,
0.64,1293325,,,
0.69,1469502,,,
0.94,1984425,,,
0.9,1835750,,,
0.35,709714,,,
0.86,1744714,,,
0.79,1624510,,,
1.15,2377923,,,
0.97,1981304,,,
1.3,2710796,,,
1.5,3243807,,,
1.91,4191445,,,
3.18,6856515,,,
2.81,6191486,,,
1.36,2788162,,,
1.26,2686553,,,
0.14,297172,,,
2.09,4355290,,,
0.41,856237,,,
1.18,2427762,,,
1.24,2570056,,,
1.27,2694064,,,
1.21,2556753,,,
1.21,2501422,,,
0.14,293223,,,
2.17,4551870,,,
0.38,776774,,,
0.63,1285240,,,
1.29,2650610,,,
1.4,2967806,,,
2.4,5093241,,,
0.33,649990,,,
0.34,712886,,,
1.2,2418162,,,
0.81,1635285,,,
1.77,3674727,,,
1.52,3064527,,,
1.74,3683366,,,
0.92,1986297,,,
1.57,3351955,,,
3.26,6835065,,,
3.94,8302610,,,
2.02,4189868,,,
3.13,6496902,,,
2.48,5195272,,,
1.15,2528539,,,
3.18,6609970,,,
