depth 10 :,,,
Time,Node,,
0.28,565272,4.4732,9925748.36
0.68,1424175,,
2.07,4097275,,
0.87,1705965,,
0.94,1844612,,
1.52,3132642,,
1.53,3251590,,
0.45,960281,,
1.14,2458004,,
0.9,1925975,,
1.3,2876465,,
1.07,2374748,,
1.41,3135998,,
2.33,5282514,,
3.52,8100787,,
2.51,5802101,,
2.98,6871985,,
1.64,3546203,,
1.26,2672482,,
0.19,411725,,
2.44,5311171,,
0.56,1230608,,
1.15,2476602,,
1.28,2751976,,
1.25,2790862,,
1.32,2874844,,
1.12,2421647,,
0.25,568576,,
2.91,6319907,,
0.58,1257527,,
0.73,1591940,,
1.26,2728153,,
1.75,3928972,,
2.84,6104322,,
0.52,1065410,,
0.78,1695831,,
1.83,3911469,,
0.7,1503070,,
2.44,5344080,,
10.61,23314604,,
3.31,7324644,,
2.63,5743054,,
2.68,5867613,,
4.69,10452102,,
3.88,8616111,,
3.46,7607460,,
3.46,7558718,,
3.75,8250209,,
2.23,4979610,,
5.86,12978361,,
6.8,15059749,,
4.44,9783977,,
4.17,9318031,,
3.71,8139890,,
5.88,13103444,,
4.24,9491294,,
11.12,25163013,,
8.69,19429756,,
10.82,24442577,,
6.99,15643002,,
14.46,29509282,,
11.37,23645692,,
11.82,26720899,,
2.22,4803619,,
6.61,14948788,,
13.84,32001299,,
10.83,24958642,,
16.41,37204299,,
18.4,42935695,,
14.46,33122481,,
10.32,23499197,,
4.34,9407372,,
2.52,5656190,,
4.82,10673467,,
5.05,11231577,,
5.8,12839938,,
4.39,9854089,,
4.8,10647511,,
5.16,11358484,,
2.99,6672200,,
4.13,9110413,,
4.39,9869527,,
6.4,14319936,,
6.3,14084225,,
3.47,7769343,,
2.07,4335740,,
0.84,1842520,,
3.23,6953656,,
4.48,10000989,,
3.35,7309859,,
2.4,5184479,,
5.16,11384240,,
2.96,6592061,,
12.34,27618060,,
9.11,19997905,,
8.35,18708808,,
6.71,15135239,,
9.97,20871896,,
10.1,22072844,,
3.23,7137390,,
