depth 10 :,,,
Time,Node,,
0.33,663731,1.7113,3858372.04
0.4,775138,,
0.36,749534,,
0.3,614088,,
0.68,1423284,,
0.74,1520250,,
0.71,1433556,,
0.34,642024,,
0.59,1144226,,
0.81,1597076,,
0.95,1927984,,
0.96,1985944,,
0.69,1485912,,
1.17,2648347,,
1.28,3093027,,
1.75,4086494,,
1.21,2887077,,
0.59,1294466,,
0.47,1048609,,
0.11,261616,,
1.17,2634418,,
0.3,671103,,
1.01,2244659,,
0.83,1921169,,
0.72,1637248,,
0.45,987023,,
0.38,828633,,
0.14,269676,,
0.95,2129298,,
0.27,575713,,
0.51,1128776,,
0.8,1787917,,
0.89,1988290,,
1.14,2521570,,
0.22,433876,,
0.2,456943,,
0.65,1438792,,
0.5,1085726,,
0.82,1851982,,
1.37,2981302,,
0.89,2039529,,
0.95,2065222,,
0.91,2026305,,
1.95,4354095,,
1.59,3573897,,
0.96,2121635,,
1.85,4092516,,
1.83,4085060,,
0.76,1726187,,
1.41,3191499,,
4.11,9148582,,
2.87,6332112,,
1.85,4181747,,
2.74,6154006,,
1.63,3610367,,
1.74,3885705,,
2.96,6720655,,
2.55,5760027,,
3.52,7800285,,
1.79,4061151,,
3.07,6965852,,
3.99,8935284,,
3.51,8050132,,
2.24,5134665,,
4.52,10321136,,
3.84,9088609,,
7.76,18135797,,
6.87,16033123,,
5.53,12983343,,
6.09,14152942,,
3.18,7349740,,
1.76,3846421,,
2.14,4813443,,
1.17,2640233,,
2.81,6349252,,
3.07,6857640,,
3.01,6808771,,
2.52,5581658,,
2.13,4747659,,
2.88,6479967,,
1.09,2419812,,
2.02,4520925,,
2.59,5913436,,
2.44,5488338,,
2.25,5008116,,
0.31,688012,,
0.62,1346874,,
1.45,3132161,,
1.74,3897814,,
1.69,3739282,,
0.55,1190229,,
0.91,2017282,,
0.7,1557683,,
2.71,6182543,,
1.21,2661995,,
2.45,5537457,,
1.4,3188210,,
2.6,5954480,,
2.78,6312885,,
0.91,2016924,,
