
file,time2,node2,step2,time4,node4,step4,time6,node6,step6,time8,node8,step8,
1,16,4,18,219,25,18,file,time2,node2,step2,time4,node4,step4,time6,node6,step6,time8,node8,step8,
1,0,4,18,0,25,18,0,367,18,0,2981,18,
2,0,5,26,0,48,26,0,419,26,16,4688,26,
3,0,7,9,0,62,11,0,620,9,16,4131,20,
4,0,5,26,0,30,26,0,248,26,0,2751,26,
5,0,8,0,0,58,0,0,363,0,0,2851,0,
6,0,4,26,0,23,26,0,149,26,0,1331,26,
7,0,8,10,0,79,10,0,676,10,31,12441,26,
8,0,6,25,0,51,25,0,376,25,16,4233,26,
9,0,5,37,0,90,11,16,1121,11,31,13733,11,
10,0,4,21,0,38,21,0,375,21,0,5440,21,
file,time2,node2,step2,time4,node4,step4,time6,node6,step6,time8,node8,step8,
1,0,4,18,0,40,20,0,420,34,16,4392,18,
2,0,5,17,0,47,17,0,504,17,16,4103,17,
3,0,7,20,0,76,20,0,742,20,31,8453,20,
4,0,5,37,0,53,1,0,241,37,0,1752,37,
5,0,8,0,0,115,0,0,1280,0,46,17502,0,
6,0,4,37,0,29,26,0,180,26,16,1745,26,
7,0,8,45,0,90,45,0,259,45,16,1442,45,
8,0,6,45,0,54,37,0,120,45,0,922,45,
9,0,5,21,0,65,21,0,360,21,0,2804,45,
10,0,4,45,0,57,45,0,518,45,16,4163,21,
