board,U/D,depth,Node
1,D,2,45
,D,4,618
,D,6,17906
,D,8,154737
,D,10,1141893
,D,12,11865306
,D,14,128838232
,U,16,51147213
2,D,2,55
,D,4,1057
,D,6,12749
,D,8,219170
,D,10,2651529
,D,12,32843940
,U,14,162230096
3,D,2,51
,D,4,920
,D,6,19976
,D,8,180410
,D,10,2226093
,D,12,16881126
,D,14,189924654
,U,16,674352
4,D,2,73
,D,4,944
,D,6,13731
,D,8,107241
,D,10,923339
,D,12,9892416
,D,14,103302188
,U,16,87806241
5,D,2,73
,D,4,1365
,D,6,18748
,D,8,241912
,D,10,2501764
,D,12,33735291
,U,14,156799504
6,D,2,47
,D,4,565
,D,6,13511
,D,8,122350
,D,10,1774613
,D,12,16688760
,U,14,195817660
7,D,2,39
,D,4,466
,D,6,9976
,D,8,141853
,D,10,1529673
,D,12,10131920
,U,14,186608269
8,D,2,53
,D,4,1276
,D,6,17852
,D,8,215694
,D,10,2879674
,D,12,33211008
,U,14,152384124
9,D,2,58
,D,4,867
,D,6,10971
,D,8,122901
,D,10,1458463
,D,12,17381823
,D,14,156478368
,U,16,26407611
10,D,2,46
,D,4,420
,D,6,4388
,D,8,45775
,D,10,628246
,D,12,6305789
,D,14,82870158
,U,16,117169855
