board,U/D,depth,Node,
1,D,2,45,
,D,4,618,13.73
,D,6,17906,28.97
,D,8,154737,8.64
,D,10,1141893,7.38
,D,12,11865306,10.39
,D,14,128838232,10.86
,U,16,17565323,0.14
2,D,2,55,
,D,4,1057,19.22
,D,6,12749,12.06
,D,8,219170,17.19
,D,10,2651529,12.10
,D,12,32843940,12.39
,U,14,131233248,4.00
3,D,2,51,
,D,4,920,18.04
,D,6,19976,21.71
,D,8,180410,9.03
,D,10,2226093,12.34
,D,12,16881126,7.58
,U,14,150081556,8.89
4,D,2,73,
,D,4,944,12.93
,D,6,13731,14.55
,D,8,107241,7.81
,D,10,923339,8.61
,D,12,9892416,10.71
,D,14,103302188,10.44
,U,16,53073263,0.51
5,D,2,73,
,D,4,1365,18.70
,D,6,18748,13.73
,D,8,241912,12.90
,D,10,2501764,10.34
,D,12,33735291,13.48
,U,14,126880516,3.76
6,D,2,47,
,D,4,565,12.02
,D,6,13511,23.91
,D,8,122350,9.06
,D,10,1774613,14.50
,D,12,16688760,9.40
,U,14,155102229,9.29
7,D,2,39,
,D,4,466,11.95
,D,6,9976,21.41
,D,8,141853,14.22
,D,10,1529673,10.78
,D,12,10131920,6.62
,U,14,157318036,15.53
8,D,2,53,
,D,4,1276,24.08
,D,6,17852,13.99
,D,8,215694,12.08
,D,10,2879674,13.35
,D,12,33211008,11.53
,U,14,131368678,3.96
9,D,2,58,
,D,4,867,14.95
,D,6,10971,12.65
,D,8,122901,11.20
,D,10,1458463,11.87
,D,12,17381823,11.92
,U,14,148694875,8.55
10,D,2,46,
,D,4,420,9.13
,D,6,4388,10.45
,D,8,45775,10.43
,D,10,628246,13.72
,D,12,6305789,10.04
,D,14,82870158,13.14
,U,16,77603001,0.94
