board,U/D,depth,Node,,,,,,,
1,D,14,18364439,,,1,14,16,18364439,44908061
,U,16,44908061,,,2,12,14,8403548,58697537
2,D,12,8403548,,,3,12,14,39723332,24224285
,U,14,58697537,,,4,12,14,45537705,16752952
3,D,12,39723332,,,5,12,14,58584339,7507199
,U,14,24224285,,,6,10,12,5920157,64669230
4,D,12,45537705,,,7,12,14,38352112,28437355
,U,14,16752952,,,8,10,12,4172208,65864349
5,D,12,58584339,,,9,12,14,30302732,38116655
,U,14,7507199,,,10,10,12,2864751,66733041
6,D,10,5920157,,,11,10,12,6173570,61042166
,U,12,64669230,,,12,10,12,40356058,23568520
7,D,12,38352112,,,13,10,12,3986265,64857169
,U,14,28437355,,,14,10,12,8233319,60836535
8,D,10,4172208,,,15,10,12,9377775,60283305
,U,12,65864349,,,16,10,12,5921960,66292702
9,D,12,30302732,,,17,12,14,28841746,36998258
,U,14,38116655,,,18,12,14,19100215,46984130
10,D,10,2864751,,,19,12,14,15530724,47357418
,U,12,66733041,,,20,12,14,7830620,51180276
11,D,10,6173570,,,21,14,16,22084273,27535396
,U,12,61042166,,,22,16,18,24085778,11147409
12,D,10,40356058,,,23,16,0,1052815,0
,U,12,23568520,,,24,14,0,116516,0
13,D,10,3986265,,,25,12,0,6430,0
,U,12,64857169,,,26,10,0,2286,0
14,D,10,8233319,,,27,8,0,554,0
,U,12,60836535,,,28,6,0,49,0
15,D,10,9377775,,,29,4,0,10,0
,U,12,60283305,,,,,,,
16,D,10,5921960,,,,,,,
,U,12,66292702,,,,,,,
17,D,12,28841746,,,,,,,
,U,14,36998258,,,,,,,
18,D,12,19100215,,,,,,,
,U,14,46984130,,,,,,,
19,D,12,15530724,,,,,,,
,U,14,47357418,,,,,,,
20,D,12,7830620,,,,,,,
,U,14,51180276,,,,,,,
21,D,14,22084273,,,,,,,
,U,16,27535396,,,,,,,
22,D,16,24085778,,,,,,,
,U,18,11147409,,,,,,,
23,D,16,1052815,,,,,,,
24,D,14,116516,,,,,,,
25,D,12,6430,,,,,,,
26,D,10,2286,,,,,,,
27,D,8,554,,,,,,,
28,D,6,49,,,,,,,
29,D,4,10,,,,,,,
