,depth2,,,depth4,,,depth6,,,depth8,,,depth10,,,depth12,,,depth14,,,
board,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,
1390,0,69,-2,0,1954,-2,0.015,24265,-2,0.14,297827,-2,1.337,3170039,-2,14.324,36933203,-2,196.545,532789811,-2,64
1963,0,93,-2,0,1546,-2,0,27672,-2,0.156,401401,-2,2.041,5184313,-2,15.943,39980575,-2,152.524,406548964,-2,36
1337,0,43,2,0,776,0,0,15071,0,0.047,85892,0,0.375,808408,0,3.281,7468779,-2,28.809,67905475,-2,33
415,0,12,2,0,76,0,0,901,0,0,8333,0,0.047,100320,0,0.406,886350,0,3.282,7512629,-2,14
1612,0,48,-2,0,1365,-4,0,16375,-4,0.094,218929,-4,1.016,2473669,-4,13.538,35368360,-2,98.748,243345930,-4,25
560,0,77,-2,0,823,-2,0,8399,-2,0.031,77006,0,0.265,629116,0,2.479,6189045,0,25.781,66411389,-2,12
1314,0,63,4,0,1474,2,0,27254,0,0.172,448371,0,1.906,4592162,0,20.987,52635253,-2,242.394,627716784,-2,33
846,0,64,2,0,1128,2,0,13502,0,0.047,102216,0,0.391,830846,0,4.042,9447987,0,44.374,108839630,0,15
382,0,57,0,0,1016,0,0,14549,0,0.078,181409,-2,0.859,2104539,-2,9.171,22916941,-2,153.214,406762257,-4,22
1667,0,83,0,0,1695,-2,0.015,24487,-2,0.125,273033,-2,1.27,3079044,-2,12.781,31906217,-2,167.454,444038853,-2,83
1065,0,68,-4,0,1540,-4,0.015,20444,-4,0.14,291051,-4,1.26,3014976,-4,11.985,30821301,-4,92.905,239927654,-4,36
1960,0,64,-6,0,1009,-6,0.016,18851,-6,0.125,285737,-4,1.422,3474821,-4,17.927,46388273,-4,166.641,432925737,-4,66
915,0,100,-2,0,2382,-2,0.016,27796,-2,0.172,412887,-4,1.219,2786760,-4,10.719,26332620,-4,135.031,352275226,-6,66
155,0,48,2,0,499,2,0,2666,2,0.016,37810,2,0.156,364903,0,1.625,3892193,0,20.869,53587287,-2,11
40,0,61,0,0,396,-2,0,2656,-2,0.015,26487,0,0.093,214364,-2,0.968,2260406,-2,11.126,27559820,-2,13
1263,0,58,0,0,1288,0,0.016,22011,0,0.125,287411,0,1.761,4344786,-2,20.325,51060593,-2,287.66,762664046,-2,64
865,0,63,4,0,935,2,0,13918,0,0.062,162329,-2,0.781,1876556,-2,6.761,16510157,-2,83.068,216829315,-2,22
150,0,65,-2,0,1220,-2,0.016,9735,-2,0.047,103607,-2,0.495,1115172,-2,5.464,13692107,-4,53.299,133720050,-2,43
700,0,49,0,0,806,2,0,16488,0,0.062,165170,2,0.781,1890306,2,8.344,20884122,0,88.077,227014052,0,56
1741,0,74,0,0,1064,0,0.015,16619,0,0.094,241046,0,1.656,4212914,0,34.639,94193915,0,356.498,933824655,0,56
876,0,75,0,0,2060,-2,0.016,31368,-2,0.219,528796,-2,2.047,4689684,-2,19.486,46996168,-2,275.868,712386452,-2,63
1977,0,59,0,0,937,0,0.016,12229,0,0.078,181786,0,0.875,2074136,0,14.488,37260663,-2,196.264,516036305,-2,47
949,0,42,-4,0,778,-4,0,10355,-6,0.062,123302,-6,0.89,2180215,-6,11.843,29638103,-6,109.853,273194643,-6,26
1626,0,71,2,0,922,2,0,11122,2,0.063,137490,0,0.667,1609431,0,9.293,23832121,0,104.044,272294836,0,14
570,0,57,0,0,1235,0,0,16645,2,0.094,218528,0,0.812,1925875,-2,12.243,31699641,0,137.146,358280830,-2,57
