,depth2,,,depth4,,,depth6,,,depth8,,,depth10,,,depth12,,,depth14,,,
board,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value
1390,0,69,-2,0,1930,-2,0.016,25094,-2,0.172,294340,-2,1.625,2624306,-2,15.525,26830025,-2,202.948,365863612,-2
1963,0,93,-2,0,1327,-2,0,21856,-2,0.172,318158,-2,2.119,3769175,-2,19.478,34422476,-2,177.068,319053171,-2
1337,0,43,2,0,755,0,0,15099,0,0.078,111041,0,0.89,1432682,0,7.459,11775217,-2,69.368,116091679,-2
415,0,12,2,0,76,0,0,647,0,0,3491,0,0.016,22257,0,0.156,210670,0,1.015,1473377,-2
1612,0,48,-2,0.016,1353,-4,0.016,19434,-4,0.172,249498,-4,1.272,1945019,-4,12.641,21412920,-2,81.724,130376152,-4
560,0,77,-2,0,1021,-2,0.015,18352,-2,0.14,221408,0,1.546,2523857,0,16.281,27366992,0,156.27,267565544,-2
1314,0,63,4,0.001,1079,2,0.004,21236,0,0.16,250403,0,1.925,3050483,0,17.999,28807295,-2,158.266,259472981,-2
846,0,64,2,0,973,2,0,11882,0,0.062,105738,0,0.546,795451,0,4.595,6938715,0,39.276,62053729,0
382,0.016,57,0,0.016,1189,0,0.016,14240,0,0.14,214506,-2,1.593,2676936,-2,10.758,17158248,-2,68.525,112128881,-4
1667,0,83,0,0,1617,-2,0,14859,-2,0.078,126579,-2,0.656,1106238,-2,5.219,8922286,-2,40.258,70484359,-2
1065,0,68,-4,0,1525,-4,0.016,20399,-4,0.156,269054,-4,1.406,2413936,-4,11.959,21206149,-4,74.818,129241352,-4
1960,0,64,-6,0,1174,-6,0.015,19799,-6,0.171,283380,-4,1.619,2714846,-4,19.057,34000869,-4,138.013,240769098,-4
915,0,100,-2,0,2130,-2,0.015,22023,-2,0.171,279014,-4,1.13,1743600,-4,9.757,16139545,-4,118.105,206840424,-6
155,0,48,2,0,499,2,0,2640,2,0.031,29503,2,0.203,296849,0,1.562,2471755,0,18.675,32535278,-2
40,0,61,0,0,343,-2,0,2392,-2,0.015,24580,0,0.14,209926,-2,2.234,3716154,-2,47.109,83748879,-2
1263,0,58,0,0,1411,0,0.016,20249,0,0.188,289332,0,1.953,3175403,-2,20.389,33703869,-2,343.08,606457041,-2
865,0,63,4,0,1394,2,0,14326,0,0.125,207964,-2,1.203,1929556,-2,10.084,16035400,-2,114.232,192458081,-2
150,0,65,-2,0,1485,-2,0,8891,-2,0.062,101693,-2,0.557,830500,-2,4.515,7231535,-4,46.639,79838962,-2
700,0,49,0,0,799,2,0,9917,0,0.078,106603,2,0.859,1402744,2,8.4,13763690,0,93.559,159714519,0
1741,0,74,0,0,1026,0,0.016,18812,0,0.172,293043,0,2.219,3676350,0,36.103,63003168,0,318.736,536189019,0
876,0,75,0,0,2015,-2,0.031,29988,-2,0.172,263755,-2,1.964,3203693,-2,14.579,23128173,-2,135.137,227005210,-2
1977,0,59,0,0,904,0,0.015,14026,0,0.136,211635,0,1.354,2247520,0,16.579,28870936,-2,149.741,258834438,-2
949,0,42,-4,0,905,-4,0.015,12304,-6,0.093,148807,-6,1.234,2027702,-6,15.479,26348301,-6,124.368,207368279,-6
1626,0,71,2,0,922,2,0.015,14009,2,0.109,156156,0,0.984,1607763,0,7.056,11472043,0,63.439,108500124,0
570,0,57,0,0.016,1000,0,0.016,21263,2,0.125,188432,0,1.703,2914753,-2,15.415,25910507,0,152.448,263236180,-2
