,depth2,,,depth4,,,depth6,,,depth8,,,depth10,,,depth12,,,depth14,,,
board,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value
1,0,17,-3,0,186,-3,0,2936,-5,0.015,25149,-5,0.109,186742,-3,1.214,2658735,-5,10.485,23877954,-3,36
2,0,34,-3,0,490,-5,0,5212,-3,0.016,44650,-3,0.209,437119,-3,2.501,5771775,-3,19.397,44152327,-3,56
3,0,41,-3,0,527,-1,0.015,4906,-1,0.031,58692,-1,0.265,569803,-1,2.401,5457939,-1,28.771,71034158,-1,16
4,0,44,1,0.016,1004,1,0.016,13101,-1,0.094,190278,-1,0.625,1378811,-1,9.193,23520528,-1,93.977,240968991,-1,34
5,0,69,-1,0,1142,-1,0,16057,-1,0.078,189000,-1,0.656,1593834,1,8.137,21608129,1,182.036,513947981,-1,38
6,0,59,-1,0,1163,-1,0.016,20051,-1,0.063,130021,1,1.094,2949593,1,7.673,19528598,1,82.996,231998302,1,23
7,0,66,1,0,1201,-1,0,14839,1,0.094,229810,1,1.015,2741630,1,12.22,34496715,1,295.435,885089628,1,64
8,0,101,3,0,1845,3,0.016,43293,1,0.219,594927,1,3.047,8833012,1,31.843,92406854,1,429.902,1293826684,1,14
9,0,81,7,0,1341,3,0,32894,3,0.25,732133,1,4.395,12713573,1,55.987,161282842,1,814.004,2423915203,-1,62
10,0,66,5,0,1417,5,0,23849,5,0.109,312115,5,1.406,4143646,3,38.401,119647335,3,722.549,2275832953,1,12
11,0,86,7,0,1417,7,0.016,33922,5,0.203,618840,3,2.48,7584719,3,22.928,69262771,3,373.515,1178041827,1,32
12,0,110,9,0,2732,5,0,21700,1,0.093,272760,-3,1.895,5420838,-7,16.912,46091499,-9,281.827,810297589,-13,68
13,0,117,13,0,1305,9,0,8901,5,0.063,163704,-1,0.75,1864837,-3,10.173,26788047,-5,76.729,191668219,-7,48
14,0.001,106,15,0.001,1209,11,0.004,8929,7,0.082,240062,3,1.269,3282365,-1,14.42,37043604,-3,120.136,300466075,-5,61
15,0,89,17,0,1571,13,0,10144,7,0.046,115107,3,0.281,623730,1,7.425,18925764,-3,43.088,97552355,-5,25
16,0,113,17,0,1494,13,0.016,11890,9,0.094,207107,5,0.641,1528542,3,11.01,29403884,-1,89.817,225733625,-3,83
17,0,84,19,0,1363,15,0,9328,9,0.064,132913,3,0.397,961445,1,6.736,17791650,-3,55.631,139064146,-5,75
18,0,111,19,0,1112,15,0,7328,11,0.063,176140,5,0.453,1071791,3,8.408,21707282,-1,109.933,278613589,-5,85
19,0,106,19,0,1550,15,0,10303,11,0.094,241071,5,0.672,1651512,3,5.027,12074267,1,69.178,175722830,-3,87
20,0,70,25,0.016,1535,19,0.016,11304,13,0.047,101623,9,0.453,1056539,5,4.843,11684728,-1,41.061,94392211,-5,65
21,0,30,29,0,241,19,0,2431,13,0,19737,7,0.11,232509,1,0.916,1934600,-5,9.375,20506860,-11,43
22,0,29,31,0,282,21,0,2192,13,0,18496,5,0.078,161533,-5,0.625,1299417,-11,3.953,7718000,-17,41
23,0,25,33,0,180,31,0,1295,27,0,16455,23,0.046,101089,21,0.265,521935,13,1.593,2899564,5,18
24,0,22,37,0,369,33,0,1853,29,0,15487,25,0.031,69932,23,0.203,379013,15,0.5,622406,8,81
25,0,22,41,0,102,41,0,5189,37,0.016,39772,33,0.094,160895,17,0.125,96038,16,0.187,106529,16,47
26,0,38,39,0,419,37,0,4713,29,0.016,30511,23,0.031,41421,26,0.047,27927,26,0.062,27927,26,52
27,0,21,45,0,100,43,0,3340,33,0,5293,36,0,3783,36,0,3783,36,0,3783,36,42
28,0,17,51,0,233,47,0,555,44,0,311,44,0,311,44,0,311,44,0,311,44,84
29,0,9,41,0,28,46,0,18,46,0,18,46,0,18,46,0,18,46,0,18,46,21
