,depth2,,,depth4,,,depth6,,,depth8,,,depth10,,,depth12,,,depth14,,,
board,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value
1390,0,69,-2,0,1922,-2,0,25382,-2,0.125,304637,-2,1.267,2982046,-2,13.103,34144305,-2,192.878,532525749,-2,64
1963,0,93,-2,0,1343,-2,0,22290,-2,0.14,359157,-2,1.771,4656538,-2,18.744,49743626,-2,203.175,556261281,-2,33
1337,0,43,2,0,634,0,0,15201,0,0.047,115619,0,0.656,1548556,0,5.796,13930225,-2,70.382,181483969,-2,16
415,0,12,2,0,76,0,0,665,0,0,3963,0,0.016,30698,0,0.156,321066,0,1.109,2458243,-2,11
1612,0,48,-2,0,1370,-4,0.016,19545,-4,0.125,274580,-4,0.985,2302818,-4,11.048,28722875,-2,79.23,195862263,-4,73
560,0,77,-2,0,1059,-2,0,19649,-2,0.109,254547,0,1.167,2790572,0,13.194,33164142,0,145.362,377902837,-2,33
1314,0,63,4,0,739,2,0,20262,0,0.109,267299,0,1.453,3580255,0,14.792,37361005,-2,156.985,401892681,-2,64
846,0,64,2,0,861,2,0,10519,0,0.062,114196,0,0.421,890758,0,3.599,8246938,0,27.751,66043715,0,63
382,0,57,0,0,1131,0,0,13012,0,0.078,219792,-2,1.225,3092007,-2,9.303,22749663,-2,73.325,185914930,-4,53
1667,0,83,0,0,1668,-2,0.015,14923,-2,0.062,141063,-2,0.578,1362658,-2,5.193,13011910,-2,50.157,129717946,-2,51
1065,0,68,-4,0,1507,-4,0.015,20426,-4,0.125,293621,-4,1.187,2976133,-4,11.545,30133673,-4,90.298,234929866,-4,66
1960,0,64,-6,0,1217,-6,0.016,18186,-6,0.125,272762,-4,1.276,3149624,-4,17.107,44997597,-4,147.058,383616467,-4,35
915,0,100,-2,0,2158,-2,0.016,23266,-2,0.14,313033,-4,0.937,2168037,-4,8.937,22397303,-4,130.914,348763958,-6,13
155,0,48,2,0,499,2,0,2749,2,0.015,32524,2,0.156,340573,0,1.39,3269145,0,18.604,48262336,-2,11
40,0,61,0,0,396,-2,0,2859,-2,0.015,31383,0,0.153,305426,-2,2.594,6367592,-2,68.753,183573937,-2,16
1263,0,58,0,0,1283,0,0.015,18299,0,0.109,257195,0,1.156,2832087,-2,16.883,43656155,-2,331.727,907258281,-2,64
865,0,63,4,0,1236,2,0,14549,0,0.078,222240,-2,0.921,2272402,-2,8.671,21527772,-2,115.93,303688310,-2,22
150,0,65,-2,0,1489,-2,0,9649,-2,0.047,112971,-2,0.406,968943,-2,3.88,9903012,-4,51.266,136514846,-2,11
700,0,49,0,0,806,2,0,8356,0,0.047,115052,2,0.515,1286982,2,4.988,12511638,0,80.634,218618458,0,61
1741,0,74,0,0,1024,0,0.015,17083,0,0.125,308224,0,1.624,4169147,0,30.141,81737109,0,292.21,771229580,0,66
876,0,75,0,0,2027,-2,0.015,30336,-2,0.125,287254,-2,1.62,3964341,-2,13.123,31453168,-2,139.565,357866409,-2,33
1977,0,59,0,0,813,0,0,11937,0,0.079,200690,0,0.969,2368461,0,12.168,31964817,-2,140.071,374238067,-2,33
949,0,42,-4,0,912,-4,0.016,12649,-6,0.078,164398,-6,1.037,2469856,-6,14.56,36662795,-6,127.52,317692254,-6,33
1626,0,71,2,0,770,2,0.016,9051,2,0.047,104054,0,0.818,2043735,0,7.708,19308726,0,83.831,220232185,0,66
570,0,57,0,0,960,0,0.016,20610,2,0.063,138571,0,1.203,3137400,-2,12.824,33383287,0,134.851,361340525,-2,36
